Entity ID,Area of Interest,Map Projection,Sensor,Begin Date,End Date,Agency,Platform,Comments,Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
EMUSA20120612201206256,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-06-12 00:00:00-05,2012-06-25 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120612201206256,EMUSA20120612201206256
EMUSA20120619201206256,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-06-19 00:00:00-05,2012-06-25 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120619201206256,EMUSA20120619201206256
EMUSA20120626201207026,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-06-26 00:00:00-05,2012-07-02 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120626201207026,EMUSA20120626201207026
EMUSA20120626201207096,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-06-26 00:00:00-05,2012-07-09 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120626201207096,EMUSA20120626201207096
EMUSA20120703201207096,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-07-03 00:00:00-05,2012-07-09 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120703201207096,EMUSA20120703201207096
EMUSA20120710201207166,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-07-10 00:00:00-05,2012-07-16 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120710201207166,EMUSA20120710201207166
EMUSA20120710201207236,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-07-10 00:00:00-05,2012-07-23 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120710201207236,EMUSA20120710201207236
EMUSA20120717201207236,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-07-17 00:00:00-05,2012-07-23 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120717201207236,EMUSA20120717201207236
EMUSA20120724201207306,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-07-24 00:00:00-05,2012-07-30 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120724201207306,EMUSA20120724201207306
EMUSA20120724201208066,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-07-24 00:00:00-05,2012-08-06 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120724201208066,EMUSA20120724201208066
EMUSA20120731201208066,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-07-31 00:00:00-05,2012-08-06 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120731201208066,EMUSA20120731201208066
